house_id,area_sqft,bedrooms,bathrooms,floors,year_built,garage,locality,distance_to_city_km,school_rating,renovated,condition,price_inr
HSE76292,1887,4,3,1,1976,0,Urban,9.5,7.4,0,Average,139.13
HSE98254,2078,3,2,1,1981,1,Urban,7.7,9.4,0,Average,147.36
HSE45178,1614,4,4,1,1985,1,Urban,8.7,7.3,0,Good,160.27
HSE78189,2339,2,1,1,2007,0,Suburban,13.7,6.8,0,Excellent,142.87
HSE11370,2213,4,3,2,2016,1,Urban,7.5,3.2,0,Excellent,177.88
HSE83832,1078,3,2,2,2003,1,Suburban,27.4,3.9,0,Excellent,107.78
HSE22562,1721,5,4,2,2000,1,Rural,69.8,8.6,0,Good,118.72
HSE44274,1433,2,2,1,2022,1,Suburban,12.9,4.7,1,Good,129.21
HSE69439,2134,2,1,2,1983,1,Urban,9.9,6.3,0,Good,156.12
HSE56816,1668,5,4,1,2009,1,Suburban,19.1,7.3,1,Good,158.17
HSE81441,1918,4,4,2,1991,0,Urban,4.7,9.2,1,Good,171.13
HSE70923,2484,3,3,3,1990,1,Urban,9.8,3.4,0,Poor,150.53
HSE50301,901,2,1,3,1991,1,Urban,2.5,7.5,0,Excellent,119.2
HSE34420,572,3,2,1,2015,1,Suburban,18.2,6.7,0,Good,98.94
HSE70884,1832,4,3,1,1996,1,Urban,4.0,6.4,1,Average,172.28
HSE12155,1464,3,2,1,1992,1,Urban,9.4,8.1,1,Good,145.53
HSE35663,1094,3,2,1,2011,1,Urban,4.1,4.8,0,Average,124.05
HSE74058,2930,2,1,1,1985,1,Suburban,14.3,9.5,0,Good,170.3
HSE18572,1870,4,3,1,1992,1,Suburban,14.3,8.4,1,Average,155.54
HSE87484,2155,3,2,1,1983,1,Rural,59.3,3.3,0,Poor,78.63
HSE18335,1702,3,3,1,1990,1,Suburban,19.9,4.0,1,Good,127.09
HSE52737,2339,2,1,1,2009,0,Rural,49.8,6.3,0,Excellent,127.9
HSE34271,1119,3,2,1,1978,1,Suburban,14.5,7.9,1,Good,121.29
HSE72710,1254,2,2,1,1996,1,Suburban,29.5,5.8,0,Excellent,110.17
HSE49759,1587,3,3,2,1985,0,Suburban,21.3,5.3,0,Good,122.7
HSE39370,1668,2,2,2,2012,1,Urban,3.7,5.5,1,Excellent,154.58
HSE03277,2054,2,1,1,2015,1,Urban,3.3,6.6,0,Good,159.68
HSE69372,1448,2,1,1,2000,1,Urban,6.4,4.5,0,Average,126.14
HSE58725,2750,4,4,2,2009,1,Urban,6.3,4.7,0,Average,190.43
HSE59658,2662,4,3,1,1995,0,Urban,1.9,8.5,1,Average,181.31
HSE83173,1579,2,2,1,2015,1,Suburban,11.4,4.9,1,Average,114.78
HSE16491,3348,3,3,1,2011,1,Urban,6.3,3.2,1,Average,198.45
HSE11381,988,2,1,2,2011,0,Suburban,14.1,3.6,0,Good,82.46
HSE75293,2097,3,3,1,2014,0,Rural,56.3,4.6,1,Good,97.85
HSE07290,842,2,1,2,2011,1,Urban,2.7,8.4,1,Excellent,133.97
HSE36153,987,2,1,1,2014,1,Urban,7.5,6.5,1,Average,128.51
HSE96679,1407,3,3,1,1985,0,Rural,63.9,3.3,0,Excellent,83.78
HSE33922,1664,5,4,1,2000,0,Suburban,27.2,7.9,1,Good,160.21
HSE72154,2416,4,4,1,2009,0,Suburban,27.0,7.3,1,Average,145.09
HSE15170,2497,2,1,1,2022,0,Urban,2.0,9.4,0,Average,165.94
HSE83092,908,3,3,2,1987,0,Suburban,11.4,4.5,0,Excellent,110.11
HSE73349,2002,3,2,1,2006,1,Suburban,17.5,,0,Excellent,149.54
HSE53655,1597,2,2,1,1972,0,Urban,8.2,3.0,0,Excellent,133.44
HSE14982,1169,2,1,1,1976,1,Urban,10.0,8.3,0,Average,121.23
HSE32293,1833,3,3,2,1990,1,Urban,7.4,9.4,0,Average,149.77
HSE55633,918,3,2,1,1977,1,Suburban,25.5,5.0,1,Excellent,113.9
HSE54615,1052,4,4,1,1980,1,Suburban,13.5,5.9,0,Average,106.91
HSE76244,2635,3,3,1,1972,1,Suburban,22.4,4.4,1,Good,161.39
HSE69050,3516,2,2,3,2002,1,Suburban,11.8,3.3,0,Excellent,192.82
HSE10714,1942,3,3,2,2017,1,Suburban,22.8,6.1,0,Good,133.62
HSE24683,2236,2,2,2,1993,0,Rural,72.0,4.0,0,Good,97.75
HSE53965,1792,2,1,1,2005,1,Urban,4.3,8.5,1,Good,149.59
HSE99121,1720,3,2,3,2009,0,Rural,79.6,7.5,0,Good,81.92
HSE70605,2594,1,1,2,1993,1,Urban,9.4,7.5,0,Excellent,173.86
